seqName,clade,pango_growth,clade_growth,pango_lif,clade_lif,pango_time,clade_time
A.1,19B,0.06512851917668552,0.0,2.5054416305484852,0.0,59.25230602278893,150.19930575643622
A,19B,0.12063610646792125,0.0,-5.179785933572203,0.0,156.55438596491229,150.19930575643622
A.2,19B,0.09857040786689518,0.0,-3.8634097491619737,0.0,107.63888888888889,150.19930575643622
A.21,19B,0.1480464687311907,0.0,-15.51626138834117,0.0,392.8222222222222,150.19930575643622
A.29,19B,0.15325566759831458,0.0,-19.80464151372644,0.0,420.40000000000003,150.19930575643622
AD.2,20B,0.12754795019559653,0.014998388834402193,-10.329234169906984,-1.4710107053118264,294.85714285714283,333.95096580113994
A.5,19B,0.0,0.0,0.0,0.0,45.18181818181817,150.19930575643622
A.23.1,19B,0.15239414068772875,0.0,-16.450414784520547,0.0,412.15,150.19930575643622
A.2.5,19B,0.18568078536789867,0.0,-28.350902203888293,0.0,462.28136882129274,150.19930575643622
A.28,19B,0.14903366877519722,0.0,-17.76828196823592,0.0,400.1428571428571,150.19930575643622
A.27,19B,0.1480355442121202,0.0,-17.239191301762986,0.0,392.75,150.19930575643622
A.19,19B,0.12414824632283834,0.0,-10.685483191381149,0.0,246.0,150.19930575643622
A.3,19B,0.07347678838412962,0.0,1.0011921417177811,0.0,63.35018315018315,150.19930575643622
A.23,19B,0.12671730504288287,0.0,-10.431455778095724,0.0,283.0,150.19930575643622
A.2.5.1,19B,0.18570264874977682,0.0,-31.259015717311975,0.0,462.41379310344826,150.19930575643622
A.2.5.2,19B,0.18835574839875552,0.0,-31.230637814022664,0.0,464.3980099502487,150.19930575643622
AY.3.2,21J,0.23612421395938699,0.1168880733167978,-56.230573851201456,-48.08692123145074,613.474025974026,610.3001398527043
AY.3,21J,0.23410609484233638,0.1168880733167978,-49.394689021344234,-48.08692123145074,608.8959850405452,610.3001398527043
AY.2,21I,0.19781988394021743,0.10417509379158839,-33.026319594970325,-42.95129325388189,537.3156572704438,579.2578550830931
AY.3.1,21J,0.2303476193539787,0.1168880733167978,-49.39080926587261,-48.08692123145074,599.1878510625978,610.3001398527043
AY.1,21J,0.21833481182427064,0.1168880733167978,-44.292034872819,-48.08692123145074,578.6109362706529,610.3001398527043
AY.4.1,21J,0.21742161369745175,0.1168880733167978,-51.60615257897166,-48.08692123145074,574.0,610.3001398527043
AY.4.2.1,21J,0.25166013067494447,0.1168880733167978,-68.57381117015316,-48.08692123145074,671.5686274509803,610.3001398527043
AY.3.3,21J,0.24559403520198403,0.1168880733167978,-60.66412144824315,-48.08692123145074,636.8684790595152,610.3001398527043
AY.4.2.3,21J,0.24690193356424042,0.1168880733167978,-66.27325750861132,-48.08692123145074,640.9130434782609,610.3001398527043
AY.4.2,21J,0.25100842673324353,0.1168880733167978,-66.91496495701435,-48.08692123145074,664.4482758620691,610.3001398527043
AY.4,21J,0.23992732875354764,0.1168880733167978,-55.90447609450174,-48.08692123145074,622.8913067737976,610.3001398527043
AY.4.3,21J,0.24416543115858033,0.1168880733167978,-65.18258932847887,-48.08692123145074,633.9999999999999,610.3001398527043
AY.4.2.2,21J,0.25160567206352114,0.1168880733167978,-68.57726927613756,-48.08692123145074,670.6326530612245,610.3001398527043
A.2.5.3,19B,0.1826179743276014,0.0,-31.42894048244216,0.0,450.66666666666663,150.19930575643622
AY.4.7,21J,0.2108775999364188,0.1168880733167978,-43.17979692542096,-48.08692123145074,559.6440677966102,610.3001398527043
AY.4.5,21J,0.25129653559077014,0.1168880733167978,-67.71923298888987,-48.08692123145074,665.904255319149,610.3001398527043
AY.4.4,21J,0.22634605389496665,0.1168880733167978,-53.93977244179066,-48.08692123145074,591.235294117647,610.3001398527043
AY.4.6,21J,0.22371294397418723,0.1168880733167978,-52.38994175367707,-48.08692123145074,584.5882352941177,610.3001398527043
AY.4.8,21J,0.2508567723468858,0.1168880733167978,-69.89396083536371,-48.08692123145074,662.5,610.3001398527043
AY.5,21J,0.22503157057860268,0.1168880733167978,-48.105226928183285,-48.08692123145074,588.1702844311377,610.3001398527043
AY.4.9,21J,0.24754490860480832,0.1168880733167978,-67.51881352470038,-48.08692123145074,643.1999999999999,610.3001398527043
AY.5.2,21J,0.20353661117000188,0.1168880733167978,-44.1292742168082,-48.08692123145074,552.0,610.3001398527043
AY.4.10,21J,0.25676381501141443,0.1168880733167978,-73.76696892114019,-48.08692123145074,675.375,610.3001398527043
AY.5.3,21J,0.23165805900776956,0.1168880733167978,-52.17413022156104,-48.08692123145074,602.7592671495527,610.3001398527043
AY.5.4,21J,0.21844944533192,0.1168880733167978,-49.06361360331936,-48.08692123145074,579.304347826087,610.3001398527043
AY.6,21J,0.22468924444946586,0.1168880733167978,-52.056994675521885,-48.08692123145074,586.9999999999999,610.3001398527043
AY.5.5,21J,0.21158781144583738,0.1168880733167978,-48.34763939620591,-48.08692123145074,563.0,610.3001398527043
AY.14,21A,0.2110739986570934,0.09561969247267427,-38.485148946843665,-38.84937799696539,561.2212272664167,560.0098351796811
AY.9.2,21I,0.2269412865854088,0.10417509379158839,-50.18332862401595,-42.95129325388189,593.1826086956521,579.2578550830931
AY.7.1,21J,0.23469921341737157,0.1168880733167978,-57.997321856257535,-48.08692123145074,610.2045454545455,610.3001398527043
AY.7,21J,0.20987585584640062,0.1168880733167978,-47.40832168240691,-48.08692123145074,557.0,610.3001398527043
AY.7.2,21J,0.24306867395649295,0.1168880733167978,-63.41960715510504,-48.08692123145074,631.7714285714285,610.3001398527043
AY.10,21I,0.18171126115700775,0.10417509379158839,-30.941296523964755,-42.95129325388189,448.4615384615384,579.2578550830931
AY.9.2.2,21I,0.21177008702930555,0.10417509379158839,-47.757284752406235,-42.95129325388189,564.5,579.2578550830931
AY.13,21A,0.20948827703792858,0.09561969247267427,-38.35043333047706,-38.84937799696539,553.9459771775241,560.0098351796811
AY.23.1,21J,0.2508154002965431,0.1168880733167978,-71.25285597347457,-48.08692123145074,662.0,610.3001398527043
