seqName,clade,pango_growth,clade_growth,pango_lif,clade_lif,pango_time,clade_time
B.1.497,20C,0.1268087477532083,0.007651817666639879,-14.263468901243426,1.3194005630805827,343.0,249.96376972281448
B.1.375,20C,0.12696659297121665,0.007651817666639879,-8.052363559631694,1.3194005630805827,343.7005703422053,249.96376972281448
B.1.588,20C,0.13148741109870343,0.007651817666639879,-9.326243590235974,1.3194005630805827,360.9972413793103,249.96376972281448
B.1.517,20C,0.13308948901463064,0.007651817666639879,-9.332902708089138,1.3194005630805827,366.1081814656844,249.96376972281448
B.1.568,20C,0.13509395352971587,0.007651817666639879,-10.980886503446285,1.3194005630805827,371.95480769230767,249.96376972281448
B.1.362,20C,0.1425378553054361,0.007651817666639879,-16.40993798205887,1.3194005630805827,389.94871794871796,249.96376972281448
B.1.575,20C,0.148315268399014,0.007651817666639879,-14.900332874505033,1.3194005630805827,404.99363057324837,249.96376972281448
B.1.623,20C,0.15690445926677274,0.007651817666639879,-19.01629202269391,1.3194005630805827,420.5308219178083,249.96376972281448
B.1.575.1,20C,0.16139051639968818,0.007651817666639879,-28.542694195422648,1.3194005630805827,428.0,249.96376972281448
B.1.637,20C,0.17049230451953304,0.007651817666639879,-22.85982250373218,1.3194005630805827,443.19592760181,249.96376972281448
B.1.630,20C,0.20291693196639113,0.007651817666639879,-43.17432634648052,1.3194005630805827,517.3145161290322,249.96376972281448
B.1.626,20C,0.20546740101028188,0.007651817666639879,-44.53458642088787,1.3194005630805827,523.6166666666666,249.96376972281448
B.1.91,20A,0.00914001300696603,0.010435270606816177,-0.8726589163863541,0.41734082689292484,46.857142857142854,286.8953708124453
B.1.8,20A,0.08916620107661168,0.010435270606816177,-3.599677605136214,0.41734082689292484,85.14893617021276,286.8953708124453
B.1.1.326,20A,0.09412997740304108,0.010435270606816177,-6.293063106863468,0.41734082689292484,98.20000000000002,286.8953708124453
B.1.110,20A,0.09707313247142593,0.010435270606816177,-3.2031019793398046,0.41734082689292484,109.26174496644293,286.8953708124453
B.1.391,20A,0.09848180370699784,0.010435270606816177,-4.340078447294753,0.41734082689292484,115.74999999999999,286.8953708124453
B.1.441,20A,0.10379292657102691,0.010435270606816177,-5.6949947524001,0.41734082689292484,149.24137931034483,286.8953708124453
B.1.128,20A,0.10451105265276865,0.010435270606816177,-8.478369441513568,0.41734082689292484,155.0,286.8953708124453
B.1.379,20A,0.10522267505392169,0.010435270606816177,-5.646347332744998,0.41734082689292484,161.0,286.8953708124453
B.1.206,20A,0.10548739166510683,0.010435270606816177,-1.9990770582237394,0.41734082689292484,163.3048620236531,286.8953708124453
B.1.540,20A,0.1060133624792497,0.010435270606816177,-9.413912013080163,0.41734082689292484,168.0,286.8953708124453
B.1,20A,0.10935587214379669,0.010435270606816177,1.5014344365862233,0.41734082689292484,200.81205600589536,286.8953708124453
B.1.600,20A,0.10975609859126263,0.010435270606816177,-10.11029545400565,0.41734082689292484,205.0,286.8953708124453
B.1.36.16,20A,0.11332254122114802,0.010435270606816177,-9.299448430737772,0.41734082689292484,242.8,286.8953708124453
B.1.397,20A,0.11339528138030294,0.010435270606816177,-5.565285378320576,0.41734082689292484,243.5586854460094,286.8953708124453
B.1.189,20A,0.11340335790852377,0.010435270606816177,-8.289487709716274,0.41734082689292484,243.64285714285714,286.8953708124453
B.1.399,20A,0.11398687207541616,0.010435270606816177,-4.726842745420858,0.41734082689292484,249.67719298245615,286.8953708124453
B.1.377,20A,0.11398750633181283,0.010435270606816177,-5.326434234085378,0.41734082689292484,249.6837060702875,286.8953708124453
B.1.402,20A,0.11488426083943219,0.010435270606816177,-6.380647983461974,0.41734082689292484,258.75182481751824,286.8953708124453
B.1.240,20A,0.11492787347333887,0.010435270606816177,-2.3816936680486838,0.41734082689292484,259.18552335582905,286.8953708124453
B.1.9,20A,0.11496610383158122,0.010435270606816177,-8.186344478155098,0.41734082689292484,259.5652173913044,286.8953708124453
B.1.416,20A,0.11504028173696314,0.010435270606816177,-9.038534781134805,0.41734082689292484,260.3,286.8953708124453
B.1.210,20A,0.11514495999168373,0.010435270606816177,-10.26981362780214,0.41734082689292484,261.3333333333333,286.8953708124453
B.1.147,20A,0.11535782366181559,0.010435270606816177,-8.479834549769148,0.41734082689292484,263.42105263157896,286.8953708124453
B.1.565,20A,0.11634052595693074,0.010435270606816177,-3.902478449043347,0.41734082689292484,272.804158004158,286.8953708124453
B.1.236,20A,0.11675205349395641,0.010435270606816177,-10.1913967370217,0.41734082689292484,276.6,286.8953708124453
B.1.146,20A,0.11712879624008968,0.010435270606816177,-11.905667527918265,0.41734082689292484,280.0,286.8953708124453
B.1.436,20A,0.11724472659958964,0.010435270606816177,-4.808105965987675,0.41734082689292484,281.03362690152125,286.8953708124453
B.1.126,20A,0.11729536412875073,0.010435270606816177,-4.7175482931184245,0.41734082689292484,281.4823359769286,286.8953708124453
B.1.110.3,20A,0.11748230610202637,0.010435270606816177,-4.49369695271569,0.41734082689292484,283.1273920174959,286.8953708124453
B.1.396,20A,0.11799030276827303,0.010435270606816177,-4.794526020087285,0.41734082689292484,287.5054313099041,286.8953708124453
B.1.466,20A,0.11832718030144858,0.010435270606816177,-11.148887681704965,0.41734082689292484,290.3333333333333,286.8953708124453
B.1.558,20A,0.11842981946453768,0.010435270606816177,-7.112556549563721,0.41734082689292484,291.18285714285713,286.8953708124453
B.1.36.38,20A,0.1188581299773543,0.010435270606816177,-10.205582531688501,0.41734082689292484,294.66666666666663,286.8953708124453
B.1.239,20A,0.1193388410899961,0.010435270606816177,-5.593602765775282,0.41734082689292484,298.4593301435407,286.8953708124453
B.1.241,20A,0.11958830299598762,0.010435270606816177,-5.168247019196532,0.41734082689292484,300.3784097504353,286.8953708124453
B.1.400,20A,0.11971948908585947,0.010435270606816177,-4.602479442034003,0.41734082689292484,301.3742078580482,286.8953708124453
