seqName	clade
B.1.1.500	20B
B.1.1.507	20B
B.1.8	20A
B.1.9	20A
B.1.22	20A
B.1.36	20A
B.1.36.1	20A
B.1.3	20C
B.1.1.525	20B
B.1.1.519	20B
B.1.2	20G
B.1.1.528	20B
B.1.1.523	20B
B.1.1.459	20B
B.1.36.7	20A
B.1.36.22	20A
B.1.36.16	20A
B.1.36.18	20A
B.1.36.24	20A
B.1.36.19	20A
B.1.78	20A
B.1.110	20A
B.1.36.35	20A
B.1.126	20A
B.1.36.29	20A
B.1.149	20A
B.1.128	20A
B.1.36.38	20A
B.1.110.3	20A
B.1.36.39	20A
B.1.91	20A
B.1.111	20A
B.1.36.31	20A
B.1.147	20A
B.1.36.9	20A
B.1.177	20E
B.1.177.15	20E
B.1.160	20A
B.1.160.16	20A
B.1.177.16	20E
B.1.177.7	20E
B.1.177.10	20E
B.1.177.5	20E
B.1.177.8	20E
B.1.177.4	20E
B.1.177.18	20E
B.1.177.32	20E
B.1.177.12	20E
B.1.177.46	20E
B.1.177.44	20E
B.1.177.21	20E
B.1.177.52	20E
B.1.177.35	20E
B.1.177.57	20E
B.1.146	20A
B.1.177.54	20E
B.1.177.60	20E
B.1.177.62	20E
B.1.177.75	20E
B.1.177.77	20E
B.1.177.81	20E
B.1.177.83	20E
B.1.177.73	20E
B.1.177.87	20E
B.1.177.86	20E
B.1.179	20A
B.1.177.53	20E
B.1.177.82	20E
B.1.189	20A
B.1.210	20A
B.1.214	20A
B.1.206	20A
B.1.212	20A
B.1.195	20A
B.1.214.1	20A
B.1.214.2	20A
B.1.222	20A
B.1.232	20A
B.1.239	20A
B.1.237	20A
B.1.221	20A
B.1.236	20A
B.1.234	20A
B.1.243	20A
B.1.241	20A
B.1.240	20A
B.1.214.3	20A
B.1.258.3	20A
B.1.258	20A
B.1.219	20A
B.1.258.14	20A
B.1.258.11	20A
B.1.265	20C
B.1.258.17	20A
B.1.260	20A
B.1.298	20C
B.1.319	20C
B.1.336	20C
B.1.324	20C
B.1.320	20C
B.1.340	20C
B.1.311	20C
B.1.346	20C
B.1.350	20C
B.1.349	20C
B.1.351	20H
B.1.351.2	20H
B.1.362	20C
B.1.361	20C
B.1.351.3	20H
B.1.356	20C
B.1.351.5	20H
B.1.371	20C
B.1.381	20A
B.1.367	20C
B.1.377	20A
B.1.379	20A
B.1.395	20A
B.1.393	20A
B.1.391	20A
B.1.396	20A
B.1.389	20A
B.1.375	20C
B.1.397	20A
B.1.398	20A
B.1.402	20A
B.1.399	20A
B.1.400	20A
B.1.409	20A
B.1.404	20A
B.1.411	20A
B.1.416	20A
B.1.415.1	20A
B.1.416.1	20A
B.1.428	20C
B.1.436	20A
B.1.426	20C
B.1.420	20A
B.1.433	20C
B.1.438	20A
B.1.427	21C
B.1.429	21C
B.1.453	20C
B.1.441	20A
B.1.466	20A
B.1.459	20A
B.1.438.1	20A
B.1.462	20A
B.1.465	20A
B.1.468	20A
B.1.466.1	20A
B.1.470	20A
B.1.466.2	20A
B.1.480	20A
B.1.503	20C
B.1.499	20C
B.1.471	20A
B.1.505	20C
B.1.509	20C
B.1.497	20C
B.1.474	20A
B.1.469	20A
B.1.527	20A
B.1.517	20C
B.1.524	20A
B.1.525	21D
B.1.526	21F
B.1.530	20A
B.1.533	20B
B.1.540	20A
B.1.544	20A
B.1.566	20C
B.1.558	20A
B.1.549	20A
B.1.561	20A
B.1.565	20A
B.1.567	20C
B.1.551	20A
B.1.570	20C
B.1.560	20A
B.1.568	20C
B.1.588	20C
B.1.587	20C
B.1.575.1	20C
B.1.577	20C
B.1.600	20A
B.1.606	20C
B.1.596.1	20C
B.1.575	20C
B.1.605	20C
B.1.617.2	21A
B.1.609	20A
B.1.617.1	21B
B.1.617.3	20A
B.1.617	20A
B.1.618	20A
B.1.619	20A
B.1.620	20A
B.1.621	21H
B.1.623	20C
B.1.625	20A
B.1.621.2	21H
B.1.636	20A
B.1.627	20A
B.1.629	20A
B.1.626	20C
B.3	19A
B.1.619.1	20A
B.1.639	20A
B.4	19A
B.1.637	20C
B.1.630	20C
B.6	19A
B.1.631	20A
B.1.634	20A
B.1.640.1	20A
B.6.6	19A
B.40	19A
B.1.621.1	21H
B.55	19A
B.39	19A
BA.1.1.1	21K
BA.1	21K
BA.1.1	21K
BA.1.1.3	21K
BA.1.1.4	21K
BA.1.1.5	21K
BA.1.1.6	21K
B.23	19A
BA.1.1.7	21K
BA.1.1.8	21K
BA.1.1.13	21K
BA.1.1.10	21K
BA.1.1.9	21K
BA.1.1.11	21K
BA.1.1.14	21K
BA.1.1.12	21K
BA.1.1.15	21K
BA.1.1.17	21K
BA.1.1.18	21K
BA.1.1.16	21K
BA.1.13.1	21K
BA.1.3	21K
BA.1.4	21K
BA.1.6	21K
BA.1.7	21K
BA.1.9	21K
BA.1.13	21K
BA.1.10	21K
BA.1.14	21K
BA.1.12	21K
BA.1.14.1	21K
BA.1.14.2	21K
BA.1.15	21K
BA.1.15.2	21K
BA.1.15.1	21K
BA.1.8	21K
BA.1.15.3	21K
BA.1.16.2	21K
BA.1.17	21K
BA.1.16	21K
BA.1.16.1	21K
BA.1.19	21K
BA.1.17.1	21K
BA.1.18	21K
BA.1.21	21K
BA.1.21.1	21K
BA.1.20	21K
BA.1.22	21K
BA.1.17.2	21K
BA.1.5	21K
BA.1.24	21K
BA.2	21L
BA.2.3.2	21L
BA.1.23	21K
BA.2.1	21L
BA.2.3	21L
BA.2.2	21L
BA.2.3.9	21L
BA.2.3.7	21L
BA.2.3.6	21L
BA.2.3.5	21L
BA.2.3.8	21L
BA.2.3.4	21L
BA.2.3.11	21L
BA.2.3.12	21L
BA.2.2.1	21L
BA.2.3.20	21L
BA.2.3.10	21L
BA.2.3.13	21L
BA.2.3.17	21L
BA.2.3.14	21L
BA.2.3.16	21L
BA.2.4	21L
BA.2.3.22	21L
BA.2.9.6	21L
BA.2.8	21L
BA.2.5	21L
BA.2.6	21L
BA.2.9.2	21L
BA.2.9.1	21L
BA.2.7	21L
BA.2.9	21L
BA.2.9.3	21L
BA.2.9.5	21L
BA.2.9.7	21L
BA.2.9.4	21L
BA.2.3.15	21L
BA.2.10.3	21L
BA.2.10.1	21L
BA.2.10	21L
BA.2.10.4	21L
BA.2.12.1	22C
BA.2.3.21	21L
BA.2.11	21L
BA.2.12	21L
BA.2.14	21L
BA.2.13.1	21L
BA.2.12.2	21L
BA.2.15	21L
BA.2.17	21L
BA.2.13	21L
BA.2.26	21L
BA.2.18	21L
BA.2.19	21L
BA.2.20	21L
BA.2.21	21L
BA.2.23.1	21L
BA.2.16	21L
BA.2.23	21L
BA.2.25	21L
BA.2.22	21L
BA.2.28	21L
BA.2.30	21L
BA.2.25.1	21L
BA.2.32	21L
BA.2.31.1	21L
BA.2.31	21L
BA.2.36	21L
BA.2.33	21L
BA.2.27	21L
BA.2.34	21L
BA.2.35	21L
BA.2.37	21L
BA.2.38	21L
BA.2.38.3	21L
BA.2.38.1	21L
BA.2.39	21L
BA.2.38.4	21L
BA.2.47	21L
BA.2.40	21L
BA.2.40.1	21L
BA.2.41	21L
BA.2.42	21L
BA.2.43	21L
BA.2.38.2	21L
BA.2.44	21L
BA.2.46	21L
BA.2.45	21L
BA.2.48	21L
BA.2.51	21L
BA.2.50	21L
BA.2.52	21L
BA.2.54	21L
BA.2.55	21L
BA.2.53	21L
BA.2.58	21L
BA.2.49	21L
BA.2.56	21L
BA.2.62	21L
BA.2.57	21L
BA.2.61	21L
BA.2.65	21L
BA.2.67	21L
BA.2.64	21L
BA.2.63	21L
BA.2.59	21L
