count,date,nextcladePangoLineage,nextstrainClade
1,2024-03-17,JN.1.1.3,24A
1,2024-09-13,MM.1,24C
1,2025-01-03,KP.3.3.5,24C
1,2024-09-20,JN.1.50,24A
2,2024-07-12,KW.1.1,24A
3,2024-11-03,MC.16,24E
1,2024-12-28,XEK.2,recombinant
8,2024-05-26,KP.2,24B
1,2024-09-29,JN.1.7.8,24A
1,2024-09-14,KP.3.1.4,24C
1,2024-09-27,KP.2.3.3,24G
1,2024-11-21,NL.5,24A
1,2024-08-10,KP.3.1.11,24C
1,2024-09-17,MA.1,24A
1,2024-09-27,KP.1.1.1,24B
3,2024-12-06,MC.1.3.1,24E
1,2024-11-14,MC.23,24E
1,2024-11-20,LF.7.6.1,24H
1,2024-12-05,KP.2.19,24B
1,2025-01-26,MC.1.6,24E
4,2024-12-01,MC.8.1,24E
3,2025-02-26,LF.7.1,24H
1,2024-01-06,LE.1,24A
1,2024-03-19,LB.1,24A
1,2024-03-20,LB.1,24A
1,2024-01-13,KK.1,23A
1,2024-09-11,KP.2.3.4,24G
1,2024-10-22,ML.2,24C
4,2024-12-06,LP.8.1,25A
11,2024-06-12,KP.3.2,24C
2,2024-12-04,MC.23,24E
2,2024-08-29,XES,recombinant
1,2024-11-27,KP.3.3,24C
1,2024-10-14,MA.1.2,24A
2,2024-04-11,LF.4,24A
1,2024-07-31,MC.32,24E
1,2024-06-16,ME.1,24A
1,2024-07-08,MC.30,24E
1,2024-09-29,MU.2,24B
1,2024-05-01,ML.2,24C
2,2024-12-30,MC.23,24E
1,2024-10-24,MC.36.2,24E
1,2024-11-04,MC.36,24E
7,2024-01-05,HV.1.1,23F
1,2024-12-01,KP.1.1,24B
1,2024-11-25,KP.1.1.3,24B
3,2024-06-02,LF.3.1.2,24A
2,2024-11-26,XEC.4,24F
2,2025-01-03,MC.1.1,24E
1,2025-01-06,MC.10.2.1,24E
4,2024-10-31,MC.13,24E
2,2024-02-17,JN.1.60,24A
2,2024-11-22,LB.1.3.1,24A
2,2024-12-11,KS.1.1.3,24A
1,2024-10-14,MC.29,24E
1,2024-09-30,KS.1,24A
1,2024-10-28,KP.3.1.6,24C
1,2024-10-03,LB.1.3.5,24A
1,2025-03-13,XEC.21,24F
1,2024-10-20,KP.3.5,24C
1,2025-03-11,XEP,recombinant
1,2024-10-29,MC.17,24E
3,2024-10-23,LB.1.3.1,24A
1,2025-02-01,NP.1,24C
1,2024-11-22,LF.7.5,24H
1,2024-07-05,KP.2.3.2,24G
1,2024-11-15,LP.8.1.1,25A
3,2024-11-22,MC.10.1.1,24E
2,2024-12-02,MC.11,24E
2,2025-01-25,XEK,recombinant
4,2024-11-30,MC.10.1.1,24E
2,2024-12-02,NL.2,24A
1,2024-05-07,MS.1,24A
1,2024-06-17,KP.2.3.15,24G
1,2024-06-21,LU.2.1.1,24A
1,2024-07-01,KP.2.3.14,24G
1,2024-09-25,XEC.22,24F
1,2024-07-28,MK.3,24C
1,2024-09-26,XEM,recombinant
1,2025-03-28,MC.10.1,24E
1,2024-11-26,XEL.3,recombinant
1,2024-01-06,FL.1.5.1,23D
1,2024-02-10,JN.1.11.1,24B
1,2024-12-04,MC.40,24E
5,2024-11-30,MC.1,24E
4,2024-12-05,LB.1.3.1,24A
1,2024-10-24,KP.2.3.4,24G
1,2024-08-02,LB.1.7.1,24A
1,2024-11-21,MC.3,24E
3,2024-07-23,LB.1.3.1,24A
2,2024-11-26,XEC.9,24F
1,2024-05-02,LB.1.3,24A
8,2024-11-20,MC.10.1,24E
1,2024-12-11,MC.17,24E
1,2024-02-05,KP.4.2,24B
1,2024-10-24,LP.8.1.5,25A
1,2024-01-03,JN.1.64.1,24A
1,2024-11-19,LP.8.1.1,25A
11,2024-12-13,MC.10.1,24E
2,2024-03-15,JN.1.22,24A
1,2024-10-22,MC.1.4,24E
7,2024-05-13,KP.3.3,24C
1,2024-04-16,JN.10,23I
2,2024-10-28,KP.2.3,24G
1,2024-12-10,LF.7,24H
2,2024-11-12,MC.13.1,24E
1,2024-10-30,KP.1.1.3,24B
1,2024-09-06,MC.23,24E
1,2024-11-28,LF.7,24H
1,2024-09-04,FL.20.2,23D
1,2024-07-03,LB.1.2.1,24A
1,2024-02-04,KV.2,24A
6,2024-01-30,XDP.1,recombinant
1,2024-07-29,KP.4.2.2,24B
1,2024-08-25,MG.2,24B
1,2025-02-09,XEC.12,24F
1,2024-11-15,KP.2.3.1,24G
1,2024-07-28,KP.2.3.2,24G
1,2024-08-19,LG.1,24A
1,2024-08-18,KP.1,24B
1,2024-09-20,MM.1,24C
1,2024-01-08,XDP.1,recombinant
1,2024-09-22,MC.10.1.1,24E
3,2025-01-21,LF.7.1,24H
1,2024-09-15,MC.22,24E
1,2024-01-10,JC.1,22F
29,2024-10-31,XEC,24F
1,2024-11-03,KP.2.3.4,24G
1,2024-02-05,JN.1.15,24A
1,2024-11-02,LP.8.1.7,25A
6,2025-01-16,MV.1,24I
2,2024-09-05,LF.3.1.1,24A
1,2024-04-02,JN.1.52,24A
1,2024-11-02,KP.3.3.2,24C
8,2024-05-01,XDP,recombinant
1,2024-11-21,KP.2.3,24G
1,2024-12-12,LF.7,24H
1,2024-02-27,JN.1.55,24A
1,2025-02-17,XEC.4,24F
2,2024-11-25,MC.37,24E
1,2024-12-28,XEK.1,recombinant
1,2024-11-25,NC.1.2.2,24A
1,2024-11-18,LF.7.2,24H
1,2024-09-03,MC.30,24E
1,2024-11-20,MC.17,24E
1,2024-06-13,LL.1,24A
6,2024-05-22,KW.1.1,24A
2,2025-03-12,NL.4,24A
2,2024-12-04,LF.7.1,24H
1,2024-10-17,KP.3.3.1,24C
1,2024-11-21,MC.27,24E
1,2024-11-25,LF.7.2.1,24H
1,2025-02-03,KP.2.19,24B
2,2024-12-02,MC.28,24E
1,2024-11-23,MC.16,24E
6,2024-12-12,LB.1.3.1,24A
2,2024-11-10,MC.10.1,24E
1,2024-05-06,LE.1.1,24A
2,2025-03-05,XEC.2.1,24F
1,2024-12-09,XEL,recombinant
1,2024-11-07,LF.7.2.1,24H
3,2025-01-07,LP.8.1.4,25A
2,2024-11-26,MC.10.1.1,24E
4,2024-05-16,KP.3,24C
1,2024-02-01,XDK,recombinant
1,2024-11-13,NL.5.2,24A
1,2024-10-13,KP.3.3.8,24C
1,2024-11-20,MC.1.6,24E
4,2024-12-02,MC.24,24E
3,2024-01-25,JC.5.1,22F
2,2024-11-25,XEF,recombinant
2,2025-01-03,MC.13,24E
6,2025-01-26,LB.1.3.1,24A
4,2024-11-27,MC.24,24E
1,2024-12-04,MC.17,24E
1,2024-08-03,KP.2.9,24B
1,2024-04-26,XDK.5,recombinant
1,2024-09-19,MC.6.1,24E
1,2024-08-10,LB.1.2.3,24A
3,2024-10-05,NL.5,24A
1,2025-03-19,LB.1.3.1,24A
4,2025-01-16,LB.1.3.1,24A
1,2024-11-16,KP.2.3.4,24G
3,2024-11-15,MC.16,24E
4,2024-12-12,MC.35,24E
1,2024-11-24,MC.35,24E
6,2024-12-14,MC.24,24E
2,2024-11-18,NF.1,24A
4,2024-12-11,LP.8.1.5,25A
6,2025-01-21,LP.8.1.5,25A
1,2025-03-20,MC.1,24E
1,2024-03-21,JN.1.20,24A
1,2024-11-30,MC.21.1,24E
2,2025-02-03,XEC.15,24F
1,2024-10-24,NM.1,24G
1,2024-11-23,KP.2.3,24G
1,2024-11-23,MC.34,24E
1,2024-11-27,LW.1,24C
1,2024-12-05,MC.13.2,24E
1,2024-06-13,XDK,recombinant
2,2024-12-10,MC.3,24E
5,2024-12-17,LF.7.2.1,24H
3,2024-06-03,KR.1.4,24A
4,2024-03-29,JN.1.8.1,24A
1,2024-12-05,MC.13.3.1,24E
1,2024-08-25,JN.1.16,24A
1,2024-11-27,MC.2,24E
3,2024-04-03,LL.1,24A
37,2024-12-01,XEC,24F
3,2024-09-08,LB.1.5,24A
2,2024-06-18,LP.6,24B
9,2024-12-13,LP.8.1,25A
10,2024-12-13,MC.1,24E
11,2024-12-11,MC.24,24E
1,2025-01-16,MC.10.2,24E
1,2024-12-14,XEC.4,24F
2,2024-12-15,LB.1.3.5,24A
1,2024-09-08,KP.3.2.4,24C
10,2024-12-14,MC.1,24E
1,2024-01-05,JN.1.4.3,24A
1,2025-02-06,KP.3.1.7,24C
1,2024-12-28,LB.1.2.2,24A
1,2024-07-21,FU.2,23B
6,2024-12-13,MC.16,24E
2,2024-12-16,MC.1.1,24E
1,2024-12-03,MC.17.1,24E
1,2024-12-02,NL.4,24A
1,2024-12-05,XET,recombinant
2,2024-12-08,MC.34,24E
3,2024-04-30,KP.3.3,24C
2,2024-12-08,MC.9,24E
3,2024-12-08,MC.35,24E
1,2025-03-07,LF.7.2.1,24H
11,2024-05-20,KP.3.3,24C
4,2024-10-31,KP.3.1,24C
1,2024-12-09,LB.1.7,24A
1,2024-09-18,XEC.2,24F
3,2024-12-12,MC.1.1,24E
7,2024-12-19,LB.1.3.1,24A
1,2024-10-24,KP.3.2.3,24C
1,2024-12-16,LF.7.7.1,24H
1,2024-06-11,XDK.1,recombinant
1,2024-09-12,LP.6,24B
1,2024-12-19,KP.3.3.2,24C
1,2024-12-18,LF.7.1,24H
2,2024-12-19,KP.3.3.5,24C
1,2024-12-07,MC.30,24E
1,2024-12-10,KP.3.1.7,24C
1,2025-01-07,MC.8.1,24E
1,2024-11-08,LP.8.1.7,25A
1,2024-12-09,MC.33.1,24E
6,2024-12-14,LP.8.1,25A
1,2025-03-05,LF.7.1,24H
2,2024-04-28,XDK.1,recombinant
6,2024-12-17,MC.10.1,24E
2,2024-10-09,MV.1,24I
4,2024-09-11,KP.2.3.12,24G
8,2024-12-20,XEQ,recombinant
1,2025-01-08,XEK.1.1,recombinant
1,2024-12-23,KP.3.3,24C
7,2025-01-13,XEQ,recombinant
5,2024-09-25,MC.10.1,24E
2,2024-12-10,MC.1.1,24E
1,2024-12-17,XEF,recombinant
1,2024-11-01,KP.3.3,24C
1,2024-11-20,LF.7.2.1,24H
1,2024-11-25,MC.28.1.1,24E
1,2024-12-07,LB.1.7,24A
1,2024-12-10,NL.5.1,24A
1,2024-06-02,JN.1.7.5,24A
1,2024-11-12,XEN,recombinant
1,2024-11-28,MK.1,24C
1,2024-12-19,MC.13.2.1,24E
2,2025-02-25,LP.8.1.7,25A
11,2024-12-19,MC.1,24E
1,2024-08-23,KP.2.2.2,24B
2,2024-08-31,LB.1.2.1,24A
1,2024-11-26,LP.1.2.1,24B
2,2024-12-06,LB.1.3.1,24A
1,2024-11-27,MC.28,24E
2,2024-12-13,XEC.15,24F
1,2024-02-22,KP.2,24B
1,2024-12-01,MC.28,24E
1,2025-01-09,NP.1,24C
2,2024-08-10,JN.1.16,24A
2,2024-10-04,NN.1.1,24G
2,2024-07-05,KP.2.3.6,24G
1,2025-01-23,KP.1.1.3,24B
5,2024-04-12,JN.1.32,24A
1,2024-11-17,LF.7.1.3,24H
1,2024-01-18,JC.5.1,22F
1,2024-04-28,KP.3.1.10,24C
1,2024-12-02,MC.10.2,24E
3,2024-12-03,MC.11,24E
1,2024-01-30,XDK,recombinant
1,2024-07-22,XDV.1.8,24D
1,2024-12-03,LP.8.1.6,25A
1,2024-11-03,KP.2.2,24B
2,2025-01-16,LF.7.2.1,24H
3,2024-01-17,JN.1.3,24A
1,2024-04-15,JN.1.7.3,24A
2,2025-02-14,NP.1,24C
1,2024-07-24,LP.7,24B
1,2024-09-08,LQ.1.1,24A
1,2024-12-04,MC.21,24E
1,2024-08-23,XEC.2,24F
2,2024-06-04,KP.2.1,24B
1,2024-12-04,MC.10,24E
1,2024-12-05,MC.28,24E
1,2024-01-05,KT.1.2,23E
1,2024-12-06,LB.1.4.1,24A
2,2024-12-06,MC.2,24E
3,2024-12-06,MC.16,24E
1,2024-12-06,MC.23,24E
1,2024-12-07,LF.7.2,24H
1,2024-01-09,JN.1.1.10,24A
94,2025-01-03,XEC,24F
3,2024-03-08,JN.1.4.3,24A
2,2024-08-11,MC.28,24E
17,2024-01-09,JN.1.22,24A
1,2024-01-20,JN.1.53,24A
1,2024-12-06,KP.2.3.4,24G
1,2024-12-09,NL.5,24A
1,2024-12-09,LF.7.1.4,24H
1,2024-12-09,MC.24.2,24E
2,2024-10-02,MB.1.1.2,24A
1,2024-12-10,NL.2,24A
5,2024-02-24,JN.1.42,24A
1,2025-01-22,MC.1.3,24E
2,2024-12-10,MC.28,24E
4,2024-12-12,MC.2,24E
1,2024-11-30,KP.3.2.5,24C
1,2024-01-08,GK.1.1.1,23G
1,2024-07-26,JN.1.50,24A
1,2024-12-17,XFC,recombinant
7,2025-02-21,XEC.8,24F
1,2024-11-15,XES,recombinant
3,2024-12-02,LF.7.1.5,24H
1,2025-01-14,MC.33.1,24E
2,2024-01-12,JC.5.1,22F
1,2024-09-14,KP.2.3.6,24G
2,2024-12-12,LF.7.1.5,24H
5,2024-12-13,MC.35,24E
1,2024-12-11,MC.17.1,24E
35,2025-02-21,XEC,24F
1,2024-12-05,LF.7.1.5,24H
2,2024-05-09,LB.1.4,24A
1,2024-10-11,XEL.5,recombinant
1,2024-11-14,NL.6,24A
2,2024-11-02,XES,recombinant
1,2025-01-10,XEC.8.1,24F
1,2024-11-26,MC.13.2.1,24E
1,2024-10-25,XEW,recombinant
5,2024-12-19,MC.13,24E
1,2024-10-09,MG.1,24B
1,2024-07-28,LB.1.2.3,24A
1,2024-12-15,MC.4,24E
1,2025-02-04,MC.8.1,24E
3,2024-02-06,JN.1.11.1,24B
1,2024-05-12,LF.3.1.1,24A
1,2024-08-31,LU.2,24A
1,2025-02-12,XEC.2.2,24F
3,2024-06-30,LB.1.4,24A
1,2024-09-15,MA.1.2,24A
1,2024-09-11,LD.1,24A
1,2024-09-16,KP.2.3.5,24G
1,2025-01-04,KP.2.2,24B
1,2024-09-13,JN.1.4.9,24A
52,2024-12-27,KP.3.1.1,24E
1,2024-09-10,LB.1.2.2,24A
4,2024-05-10,KP.2.16,24B
1,2024-09-15,KS.1.3,24A
3,2024-09-06,MG.2,24B
1,2024-05-02,LF.1,24A
1,2024-09-18,LF.7.2.1,24H
1,2024-09-22,LB.1.2.3,24A
1,2024-06-10,KR.1.4,24A
1,2024-10-03,XEC.5,24F
1,2025-01-30,MC.2,24E
1,2024-09-17,XDV.1,24D
2,2024-09-20,LB.1.2.3,24A
1,2024-10-01,LB.1.2,24A
1,2024-09-29,KP.2.3.2,24G
1,2024-12-23,KP.2.3.6,24G
1,2024-06-08,XDV.1,24D
2,2024-12-16,LP.8.1.4,25A
1,2024-12-17,XES,recombinant
1,2024-05-15,LP.2,24B
2,2024-09-26,LB.1.2.1,24A
7,2024-12-08,LP.8.1,25A
6,2024-12-18,MC.10.1.1,24E
3,2024-12-23,MC.8.1,24E
5,2025-01-14,XEQ,recombinant
16,2024-02-14,JN.1.2,24A
1,2024-12-13,LB.1.3.1,24A
2,2024-12-16,MC.8.1,24E
1,2025-02-13,NP.1,24C
1,2024-07-07,LB.1.2,24A
5,2024-05-14,KP.1,24B
1,2024-06-22,JN.1.4.6,24A
1,2024-04-27,JN.1.29,24A
2,2024-07-18,KP.3.4,24C
1,2024-12-12,KP.3.3.9,24C
1,2024-12-23,LF.7.2.1,24H
1,2024-12-04,NC.1.2.2,24A
1,2024-12-08,NL.5.2,24A
1,2024-12-16,MC.17,24E
1,2024-11-08,LB.1.3.5,24A
1,2024-12-11,MC.23,24E
4,2024-09-15,MC.11,24E
3,2024-04-11,JN.1.16.1,24A
1,2024-11-12,LB.1.3,24A
2,2024-11-12,LB.1.3.5,24A
2,2024-06-25,JN.1.16,24A
1,2024-01-09,HK.8.1,23F
2,2025-02-07,LP.8.1.8,25A
1,2024-11-10,LF.7,24H
1,2024-09-19,MC.2.1,24E
3,2024-11-17,MC.24,24E
1,2024-01-04,EG.6.1.1,23D
1,2024-09-05,MC.4,24E
1,2024-09-01,LB.1.2.3,24A
1,2024-09-07,LB.1.8,24A
1,2024-01-03,JE.1.1.1,23E
1,2024-09-02,MC.10.1,24E
1,2024-08-26,LU.2,24A
1,2024-09-05,MC.33,24E
1,2024-09-02,LQ.1.1,24A
1,2024-12-22,KP.2.3.8,24G
11,2024-06-21,KP.3.1.1,24E
1,2024-09-08,LP.6,24B
31,2024-04-11,JN.1,24A
1,2024-09-14,LQ.1.1,24A
1,2024-09-02,KP.2.3.14,24G
6,2024-01-29,JG.3.2,23F
1,2024-09-06,JN.1.1.5,24A
1,2024-09-05,KP.4.2.5,24B
1,2024-08-09,JN.1.67.1,24A
1,2024-09-08,NA.1,24A
1,2024-09-09,MU.2,24B
2,2024-09-26,MC.21.1,24E
5,2024-01-26,HV.1.1,23F
1,2024-09-14,KP.2.3.13,24G
1,2024-10-14,KP.2.3.11,24G
1,2024-11-20,LP.8.2.1,24B
11,2024-01-04,JN.1.46,24A
1,2024-09-07,LF.3.1.2,24A
1,2024-09-08,NM.1,24G
1,2024-11-05,MC.29,24E
2,2024-04-30,JN.1.4.2,24A
1,2024-05-13,MJ.2,24A
4,2025-01-30,MC.1.3,24E
6,2025-03-14,XEC,24F
2,2024-09-19,KP.2.6.1,24B
4,2024-10-26,MC.1,24E
5,2024-01-22,XDD,recombinant
1,2024-10-14,MZ.3,24A
1,2024-11-07,LP.1.1,24B
1,2024-11-08,NL.5,24A
53,2024-11-18,XEC,24F
1,2024-11-23,XEC.19,24F
1,2024-04-15,LA.1,24A
2,2024-04-06,JN.1.30,24A
1,2024-12-11,MC.20,24E
2,2024-11-19,KP.2.3.4,24G
2,2024-02-07,JN.1.41,24A
7,2024-11-26,MC.10.1,24E
1,2024-07-31,KP.2.3.13,24G
5,2024-06-17,KP.1.1,24B
1,2024-11-29,KP.2.3.4,24G
2,2025-01-30,MC.11,24E
1,2024-11-18,NY.4,25A
1,2024-11-06,LP.1.1,24B
1,2024-02-25,JN.1.18.3,24A
1,2024-10-21,JN.1.4.5,24A
1,2025-01-28,MC.1.2,24E
1,2024-10-15,MK.1,24C
1,2024-05-13,JN.1.42,24A
1,2024-10-31,JN.1.16,24A
4,2025-02-10,XEC.8,24F
1,2024-10-24,KP.3,24C
1,2024-11-03,MC.13.3.1,24E
1,2024-10-17,KP.3.1.7,24C
1,2024-10-30,XEQ,recombinant
1,2024-10-20,JN.1.16.5,24A
8,2024-12-20,LB.1.3.1,24A
14,2025-01-28,LP.8.1,25A
1,2024-10-21,KP.3.3,24C
1,2024-05-31,LB.1.2,24A
4,2024-11-06,XEK,recombinant
5,2025-01-20,XEC.4.1,24F
1,2024-12-13,KP.3.3.2,24C
1,2024-06-15,KS.1.3,24A
1,2024-06-17,MF.1,24A
1,2024-06-23,MC.34,24E
1,2024-06-26,KP.3.3.1,24C
1,2024-04-15,JC.5.1,22F
1,2024-02-25,KT.1.2,23E
1,2024-02-01,JN.1.37,24A
1,2024-06-13,MF.1,24A
1,2024-06-19,KP.2.3.15,24G
2,2024-12-23,NZ.1,24A
1,2024-11-18,MC.33,24E
1,2024-12-19,MC.1.6,24E
1,2024-12-23,LF.7.3.1,24H
4,2024-12-26,LF.7.2.1,24H
5,2024-12-19,MC.10.1.1,24E
1,2025-01-24,MV.1.1,24I
2,2024-12-19,KP.3.2.8,24C
5,2024-02-28,XDP.1,recombinant
5,2024-12-20,MC.16,24E
15,2024-09-30,KP.2.2,24B
1,2024-09-26,NM.2,24G
3,2024-12-17,MC.35,24E
3,2024-08-27,JN.1,24A
2,2025-03-13,KP.1.1.3,24B
1,2024-12-15,NV.1,24C
1,2025-03-14,MC.13.2,24E
2,2024-11-19,KP.3.1.9,24C
5,2024-12-28,MC.24,24E
13,2024-12-28,XEQ,recombinant
1,2024-07-28,MC.8.1,24E
1,2024-11-11,MC.10.1.1,24E
1,2024-04-25,KP.5,24B
3,2024-10-09,LB.1.7,24A
1,2024-12-21,LF.7.7.1,24H
4,2024-06-19,KW.1.1,24A
8,2024-12-24,MC.10.1.1,24E
1,2024-01-14,HV.2,23F
1,2024-12-20,XES,recombinant
1,2024-10-02,LF.7.2.1,24H
1,2024-12-19,PA.1,24E
2,2024-02-06,HK.3,23H
1,2024-12-17,NL.2,24A
1,2024-09-24,KP.2.15.1,24B
1,2024-12-20,XEN,recombinant
2,2024-12-22,NL.4,24A
2,2024-12-25,LF.7.2.1,24H
3,2024-12-30,LP.8.1.4,25A
2,2025-02-19,LP.8.1.6,25A
1,2024-03-14,BA.1.1,21K
1,2024-12-29,MR.2,24C
1,2025-02-08,KP.3.3.9,24C
1,2024-10-10,MU.1,24B
3,2024-12-12,MC.24,24E
5,2024-12-11,MC.35,24E
1,2024-12-23,LF.7.7.2,24H
1,2024-01-31,XBB.1.42.1,22F
2,2024-12-17,KP.1.1.3,24B
1,2024-12-16,MC.1.3,24E
4,2025-01-20,MC.10.1.1,24E
1,2025-01-01,LU.2.1.1,24A
6,2024-09-27,LB.1.7,24A
2,2025-01-15,XEC.1,24F
1,2024-12-31,MC.1.1,24E
2,2024-12-30,LP.8.1.7,25A
2,2024-01-05,JF.1.1,23B
1,2024-11-09,XEF,recombinant
2,2024-09-18,LB.1.7.1,24A
1,2025-01-12,MC.11,24E
1,2025-01-02,LP.8.1.7,25A
1,2024-02-09,JN.11.1,23I
1,2024-06-27,KP.2.11,24B
1,2025-01-26,XEK,recombinant
1,2025-03-03,LF.7.3.4,24H
1,2024-02-07,XBB.1,22F
1,2024-10-21,KP.2.14.1,24B
1,2024-12-18,LP.8.1.8,25A
1,2024-12-18,KP.2.2,24B
1,2024-01-19,HK.3.13,23H
1,2024-12-18,MC.28.1.1,24E
1,2024-09-28,KP.4.2.4,24B
1,2024-12-19,LU.2.1.1,24A
1,2024-12-20,MC.3,24E
1,2024-12-20,NL.2,24A
9,2024-12-23,MC.10.1,24E
1,2024-12-17,KP.3.2.8,24C
3,2024-12-23,MV.1,24I
1,2024-10-14,KP.3.3.3,24C
6,2024-08-08,MC.24,24E
8,2024-12-27,XEQ,recombinant
2,2024-12-22,MC.1.3,24E
1,2024-12-26,MC.1.3,24E
3,2024-01-10,EG.5.1.1,23F
1,2024-09-21,KP.3.1.6,24C
2,2024-05-14,JN.1.48.1,24A
1,2024-12-16,XEL.1,recombinant
1,2024-12-15,KP.3.1.9,24C
8,2024-06-21,JN.1.16.1,24A
1,2024-08-29,LF.3,24A
1,2024-04-13,KR.3,24A
6,2024-05-12,JN.1.7,24A
5,2024-12-21,LB.1.3.1,24A
3,2024-12-27,MC.13.2,24E
1,2024-09-14,KP.3.3.1,24C
2,2025-03-03,MC.31,24E
8,2024-10-13,MC.24,24E
1,2024-12-24,KS.1.1.2,24A
12,2024-12-31,XEQ,recombinant
1,2024-09-05,KP.3.2.5,24C
2,2024-09-28,MC.35,24E
10,2024-12-29,LB.1.3.1,24A
6,2024-01-03,XDD,recombinant
1,2025-03-03,NY.8,25A
1,2024-12-26,MC.28,24E
3,2024-12-25,MC.24,24E
2,2024-01-09,XDP,recombinant
2,2024-09-08,KP.3.3.3,24C
14,2024-08-17,LB.1,24A
1,2024-12-26,NL.2,24A
1,2024-11-07,LF.7.1.3,24H
1,2024-02-05,JN.1.20,24A
1,2024-05-21,JN.1.49,24A
2,2024-12-27,NL.4.1,24A
2,2024-12-18,LP.8.1.2,25A
1,2024-12-07,MC.8.1,24E
1,2024-12-09,MC.17,24E
1,2024-10-11,XEK.2,recombinant
3,2024-10-08,NL.5,24A
1,2024-01-21,HK.3.12,23H
1,2024-02-21,JN.1.52,24A
2,2024-02-06,EG.5.1.6,23F
1,2024-02-10,JN.1.63,24A
1,2024-12-12,MU.1,24B
3,2024-12-14,MC.35,24E
1,2024-11-06,XEC.16,24F
1,2024-06-22,XED,recombinant
23,2024-08-28,KP.1.1.3,24B
1,2024-06-14,LB.1.7.1,24A
1,2024-10-16,JN.1.11.1,24B
3,2024-10-27,MC.16,24E
1,2025-03-03,MC.28.1.1,24E
3,2024-12-19,XEK,recombinant
1,2024-10-23,LF.7.7.2,24H
3,2024-12-22,MC.1.1,24E
1,2024-09-27,MC.1.5,24E
3,2024-05-15,XDV.1,24D
1,2024-01-05,JD.1.1.7,23A
1,2024-09-02,LQ.1.2,24A
1,2024-12-22,XEF,recombinant
4,2024-05-01,KP.2.2,24B
1,2024-12-23,MU.6,24B
2,2024-09-23,MC.21,24E
2,2024-02-06,JN.1.4.1,24A
3,2024-08-29,LB.1.2.3,24A
1,2024-12-20,MC.21,24E
4,2024-12-24,LP.8.1.1,25A
1,2024-12-24,LF.7.2,24H
3,2024-09-07,MC.2.1,24E
18,2025-01-02,MC.1,24E
1,2024-08-24,ML.2,24C
5,2024-02-02,JN.1.45,24A
1,2024-06-14,JN.1.18.6,24A
1,2025-01-26,MC.10,24E
6,2024-09-25,MC.24,24E
50,2025-02-13,XEC,24F
1,2024-06-13,KP.2.3.3,24G
4,2025-02-25,XFC,recombinant
1,2024-06-15,LB.1.3.2,24A
1,2024-06-16,KP.3.1.7,24C
1,2024-11-13,MC.37,24E
1,2024-10-28,XEH,recombinant
2,2024-11-14,NY.3,25A
1,2024-11-13,MU.1,24B
1,2024-12-05,MC.30.1.1,24E
1,2025-03-09,XEC.11.1,24F
1,2024-11-12,XES,recombinant
1,2025-02-18,LF.7.6.1,24H
1,2024-11-22,NL.7,24A
1,2024-11-21,LB.1.2,24A
1,2025-01-03,LF.7.1,24H
4,2024-12-11,LB.1.3,24A
4,2024-12-12,MC.9,24E
5,2024-12-12,LP.8.1.1,25A
1,2024-10-24,JN.1,24A
1,2024-11-14,MW.1,24G
1,2024-12-16,NL.3,24A
1,2024-12-01,MC.1,24E
3,2024-12-26,NL.4.1,24A
1,2024-12-28,LF.7.7.1,24H
4,2024-12-30,MC.10.1.6,24E
2,2024-12-11,MC.28,24E
1,2024-10-26,LW.1,24C
2,2024-11-23,KP.2.15,24B
1,2024-02-08,JN.1.12,24A
2,2024-12-27,MV.1,24I
2,2025-01-04,MC.10.2,24E
3,2024-12-19,MC.28,24E
2,2024-12-21,XEN.1,recombinant
1,2025-01-05,MD.1.1.1,24A
2,2024-12-26,MC.8.1,24E
2,2024-11-19,XDY.1.1,recombinant
1,2024-12-27,LF.7.6.1,24H
1,2025-02-17,MC.10.1.3,24E
1,2024-01-04,FL.15.1.1,23D
2,2024-12-30,LF.7.6.1,24H
5,2024-12-11,XEQ,recombinant
1,2024-02-27,XDP.3,recombinant
2,2024-04-16,XDP,recombinant
5,2024-12-30,LP.8.1.5,25A
1,2024-12-31,LB.1,24A
1,2024-12-31,MC.10,24E
1,2025-02-15,NY.3,25A
1,2025-01-01,MC.13.2,24E
3,2025-01-01,LP.8.1.1,25A
2,2025-01-01,MC.8.1,24E
1,2024-05-01,KW.1,24A
1,2025-01-01,MC.21,24E
2,2024-11-20,MC.10,24E
1,2025-02-24,NY.8,25A
3,2025-01-02,MC.13.4,24E
1,2025-01-02,MC.28.1.1,24E
1,2025-01-03,NL.5.1,24A
5,2025-01-03,MC.28,24E
1,2025-01-03,LP.8.1.4,25A
4,2024-09-11,MC.2,24E
1,2024-12-18,KP.3.3,24C
1,2024-09-20,MH.1,24A
1,2024-12-16,LF.7.7.2,24H
1,2024-12-25,MC.30.1.1,24E
7,2024-02-18,KV.2,24A
13,2025-01-27,XEC.2,24F
1,2024-12-18,LW.1,24C
1,2024-12-24,LP.8.1.7,25A
2,2024-09-07,XEC,24F
1,2024-08-21,MC.23,24E
2,2024-12-26,MC.10.1.6,24E
4,2025-03-25,NW.1,25A
1,2025-02-08,LW.1,24C
4,2024-05-08,JN.1.16.1,24A
1,2024-02-12,JG.3,23F
4,2024-12-11,LP.8.1,25A
3,2024-09-16,XEC.6,24F
2,2024-12-25,MC.13,24E
1,2024-12-26,KP.3.3.1,24C
1,2024-09-08,LB.1.8,24A
63,2024-01-10,JN.1.1,24A
