count,date,nextcladePangoLineage,nextstrainClade
1,2024-05-24,KP.3.2.9,24C
3,2024-01-06,JD.1.1.1,23A
5,2024-02-11,KV.2,24A
1,2025-01-14,MU.2.1.1,24B
3,2024-06-06,KR.1,24A
3,2024-12-30,XEC.4,24F
7,2024-06-12,JN.1.7,24A
2,2024-03-28,KS.1,24A
4,2024-06-19,KP.3.1.4,24C
2,2024-02-25,JN.1.46,24A
4,2024-05-16,KP.5,24B
8,2024-01-26,JN.1.19,24A
1,2024-06-06,JN.1.18.5,24A
2,2024-05-03,KP.3.3,24C
1,2024-04-18,JN.1.42,24A
1,2024-01-29,JN.1.49,24A
2,2024-05-24,JN.1.32,24A
3,2024-05-21,KQ.1,24A
7,2025-01-03,XEC.1,24F
2,2024-01-25,JN.1.4.1,24A
26,2024-02-01,JN.1.8.1,24A
1,2024-03-06,JN.1.51,24A
26,2024-06-25,KP.3.2.3,24C
1,2024-08-06,LB.1.2.2,24A
1,2024-09-02,KP.2.3.15,24G
8,2024-01-31,JN.1.47,24A
5,2024-09-12,MC.25,24E
1,2024-10-27,MC.8.1,24E
2,2024-09-21,KP.2.2.1,24B
3,2024-11-19,MC.10.1,24E
4,2024-06-20,MC.13,24E
2,2024-07-11,KP.3.1.6,24C
1,2024-05-30,KP.2.3.8,24G
1,2024-01-31,JN.1.38,24A
1,2024-04-12,LB.1.2,24A
1,2024-01-15,KQ.1,24A
1,2024-07-22,KP.2.3.4,24G
1,2024-09-01,NC.1.1,24A
1,2024-01-13,XEK,recombinant
1,2024-07-08,MW.1,24G
1,2025-01-18,NT.1,24H
1,2024-05-22,KV.2,24A
1,2025-02-15,MC.1.3.1,24E
1,2024-06-25,JN.1.48.1,24A
1,2024-03-20,JN.1.32,24A
1,2024-05-17,LH.1,24A
2,2024-04-12,JN.1.42,24A
3,2025-02-27,LF.7.7.2,24H
1,2024-07-24,KP.2.14,24B
1,2024-01-02,JN.1.53.1,24A
4,2024-02-06,JN.1.64,24A
10,2024-01-18,JN.1.46,24A
18,2024-02-21,KV.2,24A
1,2024-04-29,JN.1.38.1,24A
1,2024-01-09,JN.1.63,24A
1,2024-07-08,KP.2.3.14,24G
4,2024-11-18,MC.10.1,24E
1,2024-04-29,LB.1,24A
1,2025-02-03,MC.10.1.2,24E
2,2024-07-21,LB.1.3.1,24A
7,2024-09-19,MC.2,24E
1,2024-03-02,JN.1.68,24A
3,2024-04-18,KP.3.1,24C
215,2024-02-07,JN.1.4,24A
3,2024-12-21,MC.16,24E
1,2024-02-20,JN.1.4.8,24A
6,2024-07-26,MC.16,24E
5,2024-01-30,JN.1.7.2,24A
2,2024-01-23,JN.1.4.3,24A
12,2024-07-29,JN.1.16.1,24A
4,2024-06-29,LA.1,24A
2,2024-02-20,JC.5.1,22F
4,2025-02-03,XEC.1,24F
2,2024-01-19,JN.1.5,24A
2,2024-09-09,MB.1.1.3,24A
9,2024-06-10,KP.3.5,24C
1,2024-01-25,JN.1.55.1,24A
2,2024-02-26,JN.1.4.3,24A
5,2024-03-12,JN.1.11.1,24B
1,2024-08-30,KP.2.9,24B
45,2024-01-24,JN.1.1,24A
1,2024-01-26,KP.2,24B
1,2024-01-20,JN.1.49,24A
1,2024-02-15,JN.1.57,24A
1,2024-04-16,JN.1.4.4,24A
8,2024-09-09,LB.1.3.1,24A
1,2024-01-06,GK.1.8,23G
1,2024-06-05,KP.1.1.5,24B
2,2024-03-10,LF.3,24A
2,2024-09-16,KP.3.5,24C
1,2024-02-08,JN.1.69,24A
1,2024-02-27,JN.1.69,24A
3,2024-02-05,JN.3.3,23I
2,2024-05-21,KP.1.1.3,24B
1,2024-04-15,JN.1.39,24A
1,2025-02-10,MC.18,24E
1,2024-04-25,JN.1.18.5,24A
1,2024-01-03,JN.11,23I
1,2024-09-28,KP.2.27,24B
1,2025-01-09,MC.1.2,24E
1,2024-10-02,MC.26,24E
2,2024-04-02,JN.1.8,24A
1,2024-06-18,NN.2,24G
4,2024-04-17,KV.2,24A
1,2024-03-09,JN.2,23I
1,2024-10-01,MC.15,24E
1,2024-04-13,JN.1.39,24A
2,2024-01-10,JN.1.56,24A
4,2024-02-25,JN.1.43.1,24A
31,2025-01-07,KP.3.1.1,24E
3,2024-01-11,JN.1.31,24A
2,2024-01-22,XBB.1.16.6,23B
1,2024-01-10,JN.1.20,24A
3,2024-07-16,JN.1.50,24A
36,2024-02-28,JN.1.8.1,24A
3,2024-09-17,KP.1.1.1,24B
2,2024-05-12,KP.3,24C
1,2024-01-13,JN.1.34,24A
7,2024-12-18,LP.8.1,25A
1,2024-01-01,XBB.1.16.12,23B
1,2024-01-31,JN.1.18.1,24A
2,2024-09-28,KP.2.3.8,24G
1,2024-01-24,JN.1.21,24A
2,2024-09-07,LB.1.2,24A
12,2024-01-29,JN.1.45,24A
1,2024-05-22,MF.2,24A
1,2024-02-19,GJ.1.2.2,23E
3,2024-09-21,JN.1.11.1,24B
3,2024-08-05,MA.1.2,24A
1,2024-05-06,LF.1.1,24A
1,2024-01-02,JN.1.53,24A
1,2024-02-07,JN.1.54,24A
1,2024-01-12,JN.1.34,24A
10,2024-02-05,JN.1.42,24A
1,2024-03-25,JN.1.68,24A
2,2024-07-11,LP.1.2,24B
2,2024-05-03,KP.1,24B
36,2024-07-11,KP.2.2,24B
6,2024-02-28,KP.1,24B
1,2025-02-13,LF.7.3.1,24H
1,2024-10-31,MC.21,24E
6,2024-02-04,JN.1.43,24A
1,2024-04-02,JN.1.3,24A
1,2024-06-13,LN.1.1,24A
3,2024-07-31,KP.2.10,24B
1,2025-01-16,MC.4,24E
7,2024-07-15,MC.11,24E
7,2024-08-21,KP.2.14,24B
1,2024-05-19,MG.1,24B
1,2025-01-17,XEU,recombinant
1,2024-11-03,LB.1.3,24A
3,2024-06-16,KP.3.3.1,24C
2,2024-01-05,EG.5.1.6,23F
5,2024-02-03,JN.1.32,24A
49,2024-02-23,JN.1.8.1,24A
1,2024-05-28,KP.2.7,24B
2,2024-03-20,JN.1.19,24A
4,2024-07-17,KP.4.1,24B
1,2024-08-21,MC.9.1,24E
1,2024-10-11,XEK.1,recombinant
2,2024-05-28,KP.2.3.7,24G
3,2024-12-19,MC.34,24E
1,2024-10-25,MF.2,24A
1,2024-09-18,MC.13.4,24E
2,2024-03-18,KP.3,24C
4,2024-07-02,KP.2.3.8,24G
1,2024-08-29,KP.2.6.1,24B
2,2024-12-01,LY.1,24A
8,2024-05-20,JN.1,24A
4,2024-08-12,KP.3.1.6,24C
1,2024-04-24,LB.1.4,24A
9,2024-12-16,XEQ,recombinant
1,2024-04-27,KP.3.3.3,24C
1,2024-05-12,LF.9.1,24A
2,2024-03-18,JN.1.6,24A
1,2024-10-17,MC.10.1.1,24E
4,2024-10-08,KP.2.3.4,24G
4,2024-07-04,MC.16,24E
2,2024-05-31,KP.2.1,24B
2,2025-03-10,MC.10.1.6,24E
1,2024-07-29,LF.1,24A
4,2024-03-25,JN.1.39,24A
5,2024-02-20,JN.1.31,24A
2,2025-02-08,NY.5,25A
4,2024-01-05,JN.1.52,24A
1,2024-02-23,JN.1.16.3,24A
12,2024-06-15,LB.1.7,24A
21,2024-02-09,JN.1.1,24A
3,2024-02-17,JN.1.43,24A
3,2024-02-05,JN.1.55,24A
7,2024-05-07,KP.3,24C
1,2024-02-26,JN.1.4.9,24A
7,2024-02-20,XDP,recombinant
5,2024-05-25,JN.1.13.1,24A
1,2024-04-29,JN.1.4.6,24A
1,2024-12-14,KP.3.7,24C
1,2024-01-16,KW.1,24A
37,2024-02-15,JN.1.8.1,24A
1,2025-01-09,MC.23,24E
16,2024-08-05,MC.16,24E
4,2024-05-02,JN.1.7.2,24A
7,2024-02-10,JN.1.6,24A
2,2024-01-22,JN.1.32,24A
1,2024-03-07,JN.1.6,24A
1,2025-03-03,MC.10.2,24E
24,2024-06-09,KP.3.3,24C
1,2025-01-01,KP.3.3.8,24C
3,2024-04-24,JN.1.67.1,24A
84,2024-02-11,JN.1.4,24A
1,2024-02-12,MD.2,24A
2,2025-01-07,NY.3,25A
2,2025-03-04,XEC.12,24F
