method,gr_mse,lif_mse,n_samples,n_variants_requested,n_variants_real,mean_entropy,new_var_rate,n_days
BFGS,0.007119545407389275,43145.07969931752,1000,50,50,0.20261957552434354,0.011904761904761904,8400
BFGS,2.50754817831104e-05,219.7668734918516,1000,50,50,0.2862327986949584,0.011904761904761904,8400
BFGS,7.431099838285062e-05,997.6377023440816,1000,50,50,0.19495174795062106,0.011904761904761904,8400
BFGS,1.5257541478777406e-05,45.147191971290496,1000,50,50,0.23829663451717747,0.011904761904761904,8400
BFGS,0.005059247602297946,24677.094012828027,1000,50,50,0.21116244393351308,0.011904761904761904,8400
stepwiseBFGS,2.51574880714625e-05,208.45090864923642,1000,50,50,0.20261957552434354,0.011904761904761904,8400
stepwiseBFGS,2.601291833868023e-05,233.43347830247754,1000,50,50,0.2862327986949584,0.011904761904761904,8400
stepwiseBFGS,7.35620915987138e-05,986.8080712958117,1000,50,50,0.19495174795062106,0.011904761904761904,8400
stepwiseBFGS,1.5257500485334016e-05,45.147242030140184,1000,50,50,0.23829663451717747,0.011904761904761904,8400
stepwiseBFGS,5.329110633097949e-05,331.0853003002254,1000,50,50,0.21116244393351308,0.011904761904761904,8400
BFGS,0.005678513848888526,12813.282963003108,1000,50,50,0.2373163386836686,0.017857142857142856,5600
BFGS,7.582254420964754e-05,432.19948077869515,1000,50,50,0.31532284132577837,0.017857142857142856,5600
BFGS,3.243795741127424e-05,155.53642176186668,1000,50,50,0.2685466192894761,0.017857142857142856,5600
BFGS,9.197102187579922e-05,115.97332323373197,1000,50,50,0.27348600930204503,0.017857142857142856,5600
BFGS,0.0050050404846235675,18865.185684949993,1000,50,50,0.27946602936830467,0.017857142857142856,5600
stepwiseBFGS,4.771129281270038e-05,247.50363685419498,1000,50,50,0.2373163386836686,0.017857142857142856,5600
stepwiseBFGS,7.556524830589482e-05,430.9586564982475,1000,50,50,0.31532284132577837,0.017857142857142856,5600
stepwiseBFGS,2.7037025072169132e-05,139.66990314657505,1000,50,50,0.2685466192894761,0.017857142857142856,5600
stepwiseBFGS,9.20648270911566e-05,116.03233493781065,1000,50,50,0.27348600930204503,0.017857142857142856,5600
stepwiseBFGS,4.050710844473807e-05,119.10754172582385,1000,50,50,0.27946602936830467,0.017857142857142856,5600
BFGS,0.00012135941766207683,124.04418909884541,1000,50,50,0.42662722532727154,0.03571428571428571,2800
BFGS,0.00032971433503137856,249.22486796399167,1000,50,50,0.3108122717768638,0.03571428571428571,2800
BFGS,6.899043310639408e-05,89.87210748108143,1000,50,50,0.3938038777576414,0.03571428571428571,2800
