n_samples,n_variants_requested,new_var_rate,n_days,gr_mse_mean_BFGS,gr_mse_mean_stepwiseBFGS,lif_mse_mean_BFGS,lif_mse_mean_stepwiseBFGS,gr_mse_std_BFGS,gr_mse_std_stepwiseBFGS,lif_mse_std_BFGS,lif_mse_std_stepwiseBFGS,n_variants_real_mean,mean_entropy_mean
10,50,0.07142857142857142,1000,0.011201363355191046,0.011201471147565636,955.9600518534986,955.9948312487734,0.0023753794200679626,0.002375404757567807,434.99408480824906,435.0079154600104,29.8,0.5802046144832579
20,50,0.07142857142857142,1000,0.011639780300462628,0.011642003990219852,950.373823509404,950.7454576268514,0.003466304902958297,0.0034706349446790444,374.8092651909037,375.0365921466702,34.5,0.5821009937436629
50,50,0.07142857142857142,1000,0.012869146914905849,0.01286864017426011,1564.4449574133002,1564.355668801471,0.0033459372550295138,0.0033478741540478125,916.3375683836509,916.4060752334053,40.3,0.5834883628183513
100,50,0.07142857142857142,1000,0.01223828046558319,0.012239654379303225,1746.178355407393,1746.3991845931555,0.005791105309135693,0.005791308677801766,1033.1329387975209,1033.2285237160233,44.7,0.5842206752393364
200,50,0.07142857142857142,1000,0.01044840342238993,0.010448080726527472,1656.0168295855842,1655.967394796251,0.004856452563487979,0.004856055359115918,976.5832883264433,976.6639298166345,47.0,0.5844833887532976
500,50,0.07142857142857142,1000,0.0012933627661801902,0.0012934080861974836,332.32048898366395,332.3153241231107,0.002900443120360157,0.0029005226257349036,789.8084939128552,789.8478203675586,49.8,0.5847159706915732
1000,50,0.07142857142857142,1000,0.00012703675212155584,0.0001269494195151656,20.45423121057643,20.43454812749932,5.611465943004892e-05,5.607394444867194e-05,18.616328436721087,18.590247188842845,50.0,0.5847284300673247
2000,50,0.07142857142857142,1000,6.900028148764089e-05,6.899465931853291e-05,11.511311965362292,11.512076313834829,3.551519367174858e-05,3.5502064737929874e-05,9.50436072504601,9.510683679152226,50.0,0.5847284300673247
5000,50,0.07142857142857142,1000,2.837753615894518e-05,2.8399291069382742e-05,4.748157525069874,4.753820648011907,1.157659357663201e-05,1.159279759399947e-05,2.9147143708592558,2.920246656678992,50.0,0.5847284300673247
10000,50,0.07142857142857142,1000,1.589723564927778e-05,1.5902121214541274e-05,3.0527234006287554,3.050446964187702,1.0016246746356598e-05,1.0024956264168598e-05,2.6251064488693614,2.6249435613255625,50.0,0.5847284300673247
