method,gr_mse,lif_mse,n_samples,n_variants_requested,n_variants_real,mean_entropy,new_var_rate,n_days
BFGS,0.00017580348189136835,0.933816566782065,1000,10,10,0.6649238758634269,0.07142857142857142,210
BFGS,6.74650982080145e-05,0.5027208500520987,1000,10,10,0.308739783009379,0.07142857142857142,210
BFGS,0.0002934902860673766,3.307891901229933,1000,10,10,0.7954417061763991,0.07142857142857142,210
BFGS,0.00012161950626994135,1.3082344161710768,1000,10,10,0.3341205299657064,0.07142857142857142,210
BFGS,0.0024923502772346375,77.4461334679985,1000,10,10,0.35162509259005514,0.07142857142857142,210
stepwiseBFGS,0.00017580348189136835,0.933816566782065,1000,10,10,0.6649238758634269,0.07142857142857142,210
stepwiseBFGS,6.74650982080145e-05,0.5027208500520987,1000,10,10,0.308739783009379,0.07142857142857142,210
stepwiseBFGS,0.0002934902860673766,3.307891901229933,1000,10,10,0.7954417061763991,0.07142857142857142,210
stepwiseBFGS,0.00012161950626994135,1.3082344161710768,1000,10,10,0.3341205299657064,0.07142857142857142,210
stepwiseBFGS,0.0024923502772346375,77.4461334679985,1000,10,10,0.35162509259005514,0.07142857142857142,210
BFGS,0.00041855986460328316,3.0291163094764553,1000,20,20,0.5676563229875118,0.07142857142857142,400
BFGS,0.000178706842853237,4.615226308939176,1000,20,20,0.30084409314322164,0.07142857142857142,400
BFGS,5.5608005557437635e-05,2.522102502608392,1000,20,20,0.6830674506437895,0.07142857142857142,400
BFGS,0.0004347933157913284,8.56172352666899,1000,20,20,0.3662302664798579,0.07142857142857142,400
BFGS,5.482566669535694e-05,5.789489045650252,1000,20,20,0.34121247231316365,0.07142857142857142,400
stepwiseBFGS,0.00041856009952703066,3.029124347238634,1000,20,20,0.5676563229875118,0.07142857142857142,400
stepwiseBFGS,0.00017870569867410512,4.6150805438073,1000,20,20,0.30084409314322164,0.07142857142857142,400
stepwiseBFGS,5.560464425761687e-05,2.5220550922107634,1000,20,20,0.6830674506437895,0.07142857142857142,400
stepwiseBFGS,0.00043480439830259404,8.56198945707964,1000,20,20,0.3662302664798579,0.07142857142857142,400
stepwiseBFGS,5.482642435743163e-05,5.789567246049183,1000,20,20,0.34121247231316365,0.07142857142857142,400
BFGS,0.00020419382049873861,16.498573723106418,1000,50,50,0.6311287903311829,0.07142857142857142,950
BFGS,7.888293633710947e-05,13.945935654937678,1000,50,50,0.6320008248866709,0.07142857142857142,950
BFGS,5.073291616194408e-05,8.662471603263262,1000,50,50,0.7426354521946797,0.07142857142857142,950
BFGS,0.0001592276495347664,16.769561517156962,1000,50,50,0.586026613045621,0.07142857142857142,950
BFGS,0.00014823310131487536,28.29921442783861,1000,50,50,0.6793388217580328,0.07142857142857142,950
stepwiseBFGS,0.00020420411985700554,16.49856903046953,1000,50,50,0.6311287903311829,0.07142857142857142,950
stepwiseBFGS,7.885107529164401e-05,13.941037440070383,1000,50,50,0.6320008248866709,0.07142857142857142,950
stepwiseBFGS,5.087487919063583e-05,8.694426362408864,1000,50,50,0.7426354521946797,0.07142857142857142,950
stepwiseBFGS,0.00015918962920581824,16.76565428516115,1000,50,50,0.586026613045621,0.07142857142857142,950
stepwiseBFGS,0.0001483078831311906,28.304011917727873,1000,50,50,0.6793388217580328,0.07142857142857142,950
BFGS,0.0002018705177474515,73.69184938988305,1000,100,100,0.6913121607295037,0.07142857142857142,1800
BFGS,0.00019855709087311882,144.97562640607845,1000,100,100,0.5941320671148893,0.07142857142857142,1800
BFGS,0.0003254849335638683,399.9397160815971,1000,100,100,0.6603320881156758,0.07142857142857142,1800
BFGS,0.00018127073059937527,102.31429224683981,1000,100,100,0.5719231952808909,0.07142857142857142,1800
BFGS,0.00012880752135994468,150.43291387074316,1000,100,100,0.6305752011043716,0.07142857142857142,1800
stepwiseBFGS,0.00020180723507459168,73.62642545272328,1000,100,100,0.6913121607295037,0.07142857142857142,1800
stepwiseBFGS,0.00019829571831110558,144.76272029805327,1000,100,100,0.5941320671148893,0.07142857142857142,1800
stepwiseBFGS,0.00032624396527113823,402.421788955077,1000,100,100,0.6603320881156758,0.07142857142857142,1800
stepwiseBFGS,0.00018146805967599508,102.5334610334875,1000,100,100,0.5719231952808909,0.07142857142857142,1800
