method,gr_mse,gr_mse_reduced,lif_mse,lif_mse_reduced,n_samples,n_variants_requested,n_variants_real,mean_entropy,new_var_rate,n_days
BFGS,0.00017577210709129553,2.374947020693752e-07,0.9337398848131103,0.0070855412129032696,1000,10,10,0.6546220675648923,0.07142857142857142,302
BFGS,7.227392578278284e-05,1.7541963767262767e-05,0.6454848408407385,0.07790074455757073,1000,10,10,0.2185546558365058,0.07142857142857142,327
BFGS,0.0002697276340417334,4.539942032456735e-07,3.0112369375114607,0.004268130094311788,1000,10,10,0.5332137809454561,0.07142857142857142,342
BFGS,0.00012162787528396397,1.6137736802561243e-06,1.3085105298551272,0.01924605682588624,1000,10,10,0.2465719041189856,0.07142857142857142,286
BFGS,2.331978673156794e-05,6.579716213657931e-07,0.30797334510419355,0.015470851327717472,1000,10,10,0.4183773115196292,0.07142857142857142,395
stepwiseBFGS,0.00017577210709129553,2.374947020693752e-07,0.9337398848131103,0.0070855412129032696,1000,10,10,0.6546220675648923,0.07142857142857142,302
stepwiseBFGS,7.227392578278284e-05,1.7541963767262767e-05,0.6454848408407385,0.07790074455757073,1000,10,10,0.2185546558365058,0.07142857142857142,327
stepwiseBFGS,0.0002697276340417334,4.539942032456735e-07,3.0112369375114607,0.004268130094311788,1000,10,10,0.5332137809454561,0.07142857142857142,342
stepwiseBFGS,0.00012162787528396397,1.6137736802561243e-06,1.3085105298551272,0.01924605682588624,1000,10,10,0.2465719041189856,0.07142857142857142,286
stepwiseBFGS,2.331978673156794e-05,6.579716213657931e-07,0.30797334510419355,0.015470851327717472,1000,10,10,0.4183773115196292,0.07142857142857142,395
BFGS,0.0004185556873391684,9.072492717950156e-07,3.028833462216325,0.053373298428359535,1000,20,20,0.5231962316307756,0.07142857142857142,434
BFGS,0.00017866955580244062,1.326159986364424e-06,4.615037162523059,0.051099274898522,1000,20,20,0.24986786487938373,0.07142857142857142,491
BFGS,5.370682744532977e-05,1.8229707016161807e-07,2.356262003224393,0.01908810807003063,1000,20,20,0.5977690730923619,0.07142857142857142,468
BFGS,0.00043528045706850855,1.912416848713708e-06,8.591654540833762,0.09013875152741592,1000,20,20,0.36427337683322,0.07142857142857142,426
BFGS,2.8912124224536958e-05,5.6555028826827005e-06,2.1190333375366373,0.84028657416943,1000,20,20,0.4258643484108118,0.07142857142857142,574
stepwiseBFGS,0.00041855571015302274,9.072383454471052e-07,3.0288404472452215,0.053372832468801104,1000,20,20,0.5231962316307756,0.07142857142857142,434
stepwiseBFGS,0.00017871426868014246,1.325687160025105e-06,4.616173152269487,0.05110495910660136,1000,20,20,0.24986786487938373,0.07142857142857142,491
stepwiseBFGS,5.370970287209659e-05,1.8225954306570514e-07,2.356466799026093,0.019085037657196286,1000,20,20,0.5977690730923619,0.07142857142857142,468
stepwiseBFGS,0.0004352915110857441,1.913506838678706e-06,8.591917341646537,0.09015114375460073,1000,20,20,0.36427337683322,0.07142857142857142,426
stepwiseBFGS,2.8912730227502357e-05,5.6556342366159494e-06,2.119098424840321,0.8403006979513127,1000,20,20,0.4258643484108118,0.07142857142857142,574
BFGS,0.00020426388787277716,4.405502649895721e-06,16.495312130580814,0.9046151509552267,1000,50,50,0.578926104233898,0.07142857142857142,943
