method,gr_mse,gr_mse_reduced,lif_mse,lif_mse_reduced,n_samples,n_variants_requested,n_variants_real,mean_entropy,new_var_rate,n_days
BFGS,0.00012175162534351786,5.9147809647757006e-06,124.52682118548694,7.796963820095016,1000,50,50,0.4043571541437794,0.03571428571428571,1590
BFGS,0.0003293185202569503,3.6392543558695667e-06,248.7079324588708,1.0013590882802883,1000,50,50,0.311192108181574,0.03571428571428571,1636
BFGS,6.864807718550447e-05,7.459803696056204e-06,88.9884735312738,7.568537697407856,1000,50,50,0.39335366986120307,0.03571428571428571,1749
BFGS,5.5795340177409255e-05,7.763261026590198e-06,21.94966242662653,3.676995778790434,1000,50,50,0.49024498742349076,0.03571428571428571,1574
BFGS,0.00011501398471518237,4.515506469153514e-06,160.50286018415983,4.242713617799504,1000,50,50,0.4897181439384869,0.03571428571428571,1605
stepwiseBFGS,0.00012179662808643373,5.942607060625517e-06,124.55099189566586,7.844950780458328,1000,50,50,0.4043571541437794,0.03571428571428571,1590
stepwiseBFGS,0.0003297183996195786,3.6395543808179407e-06,249.1452682101821,1.001703269794727,1000,50,50,0.311192108181574,0.03571428571428571,1636
stepwiseBFGS,6.862655840088982e-05,7.460385687304276e-06,88.96668202018662,7.569501747018035,1000,50,50,0.39335366986120307,0.03571428571428571,1749
stepwiseBFGS,5.570695920311166e-05,7.724445024859099e-06,21.87888587361241,3.648660951194996,1000,50,50,0.49024498742349076,0.03571428571428571,1574
stepwiseBFGS,0.00011522447416023403,4.516652321754848e-06,160.68837140653568,4.244590219010758,1000,50,50,0.4897181439384869,0.03571428571428571,1605
BFGS,9.955521059831859e-05,2.640075914831507e-06,17.336270963884385,0.6804053511338535,1000,50,50,0.5101251250612189,0.047619047619047616,1242
BFGS,0.0004814275351129382,1.2329959888618631e-05,403.72306423816065,10.979151147514436,1000,50,50,0.37510259362146464,0.047619047619047616,1189
BFGS,2.261335609867353e-05,3.158468456156197e-06,10.26220964579787,1.1778120063650106,1000,50,50,0.49649252767683144,0.047619047619047616,1296
BFGS,0.00013062306041030714,1.636762532901934e-06,27.03680786796051,0.4613150484692238,1000,50,50,0.5790015821670464,0.047619047619047616,1254
